Dim1	Dim2	Sample
1.0167344273712544	-4.910034283745757	TCGA-3L-AA1B-01
-3.8122520465940255	2.428410116755661	TCGA-4N-A93T-01
-3.9119948041245904	-0.47235437019092696	TCGA-4T-AA8H-01
-5.72487203829651	4.927635439381774	TCGA-5M-AAT4-01
-3.5077927082124147	6.063432211451473	TCGA-5M-AAT5-01
5.229945779724379	-14.827097409935526	TCGA-5M-AAT6-01
6.079816885199973	4.986759271579633	TCGA-5M-AATA-01
3.7155648858639956	4.312775889017066	TCGA-5M-AATE-01
5.8892250069046295	-3.631367852743829	TCGA-A6-2675-01
9.298621647785382	-6.616263856191494	TCGA-A6-2682-01
8.53452790734314	-7.269252849869552	TCGA-A6-2684-01
8.533180792425439	-8.672904671551695	TCGA-A6-2685-01
2.154793365448067	-14.362187119369567	TCGA-A6-2686-01
7.27194871667982	1.7809911269524856	TCGA-A6-4105-01
1.386934885832479	5.950633385223704	TCGA-A6-5656-01
7.513198606623255	-8.037417145216574	TCGA-A6-5657-01
2.6655623209503707	2.0574221686521383	TCGA-A6-5659-01
2.5737794923699338	2.605873309176861	TCGA-A6-5660-01
-3.6998021529653435	-18.438562695234033	TCGA-A6-5661-01
4.690229176242612	-1.805665868915675	TCGA-A6-5662-01
6.0886105435965785	-7.73673968109584	TCGA-A6-5664-01
-4.072469165959954	-18.53952498070576	TCGA-A6-5665-01
-4.720456360599947	9.6603114431323025	TCGA-A6-5666-01
8.078189184844021	-1.9011793384227589	TCGA-A6-5667-01
-0.5672317765134887	-2.6303992183278586	TCGA-A6-6137-01
2.6566124219491467	-0.8402677609564942	TCGA-A6-6138-01
-0.7080002323567853	5.69718726628095	TCGA-A6-6140-01
-1.5738009202071663	-6.203382858133229	TCGA-A6-6141-01
11.976734653365428	5.919220150736291	TCGA-A6-6142-01
-1.0898590682772293	-1.895382002004462	TCGA-A6-6648-01
3.5714838674652998	-9.724236836546405	TCGA-A6-6649-01
-1.4384764418617024	5.054297895104661	TCGA-A6-6650-01
-11.33972498554834	-11.144599408949842	TCGA-A6-6651-01
4.425788682725949	5.240933316068162	TCGA-A6-6652-01
-3.337863749441805	-15.329934600990711	TCGA-A6-6653-01
6.34527886813855	-6.385287881566011	TCGA-A6-6654-01
-5.837759311741787	-11.00582957142044	TCGA-A6-6780-01
7.0960660971385	-13.783486816135706	TCGA-A6-6781-01
10.59879886511569	-8.15762749933208	TCGA-A6-6782-01
3.771223775503185	-9.88397128649008	TCGA-A6-A565-01
9.546294992667438	-11.680599624056713	TCGA-A6-A566-01
4.404956021792921	3.832279518462445	TCGA-A6-A567-01
7.856333884071932	0.5195437633435791	TCGA-A6-A56B-01
10.987081848801525	-2.25804872337731	TCGA-A6-A5ZU-01
10.559912308269057	-8.611306403302043	TCGA-AA-3489-01
-3.914956228750743	-15.278708121921138	TCGA-AA-3492-01
2.9382774028009018	12.005323028785131	TCGA-AA-3495-01
6.398545797944397	0.2779572889168098	TCGA-AA-3496-01
-5.616383665769955	-7.654128376884303	TCGA-AA-3502-01
9.131837891582942	10.416454636751505	TCGA-AA-3506-01
6.244711148710637	7.976146905851703	TCGA-AA-3509-01
3.041724241350821	-0.9333986248901844	TCGA-AA-3511-01
-4.689830198322269	13.555940559089956	TCGA-AA-3526-01
-2.2923322724823665	-3.3105866010949443	TCGA-AA-3655-01
6.642282513152135	7.261035287343221	TCGA-AA-3660-01
6.778671923299089	7.039529986816645	TCGA-AA-3662-01
-5.232514697282159	-13.082895131408103	TCGA-AA-3663-01
-2.078188278843598	0.8882081395638345	TCGA-AA-3675-01
-4.973320534321586	13.70668897127685	TCGA-AA-3685-01
-0.9632505866426483	6.139574492101364	TCGA-AA-3697-01
7.569039471380315	2.957820165990395	TCGA-AA-3712-01
-1.8097627066143618	-10.32167821830784	TCGA-AA-3713-01
1.0609156175666832	-18.781992163046908	TCGA-AA-A01P-01
4.985883830290523	3.434513513884129	TCGA-AA-A01X-01
-3.7313549462790414	4.797107905545876	TCGA-AA-A01Z-01
-6.967329787884453	4.987484211981998	TCGA-AA-A02K-01
-9.45546337606552	2.0983836303636503	TCGA-AA-A02Y-01
-0.9450848679074392	-18.558077953313017	TCGA-AD-5900-01
10.300201227901741	4.763578746129252	TCGA-AD-6548-01
-10.249723871490996	2.8364473126902925	TCGA-AD-6888-01
-4.342727785602932	-19.346029349921924	TCGA-AD-6889-01
-6.773140196755279	7.596025901387358	TCGA-AD-6890-01
-1.2805325847260989	-18.971161317700115	TCGA-AD-6895-01
0.9665104961214297	-4.197625361100418	TCGA-AD-6899-01
10.869245768090257	-8.415946889168392	TCGA-AD-6901-01
-4.853805876481161	6.538555108829644	TCGA-AD-6963-01
4.291985332136351	-14.663961655993058	TCGA-AD-6964-01
8.32585444019996	4.80185929236035	TCGA-AD-6965-01
-3.6133509571728157	-19.470071677773408	TCGA-AD-A5EJ-01
3.2168478085237964	2.125663598214458	TCGA-AD-A5EK-01
0.5088419543129684	-0.9883700065188296	TCGA-AM-5820-01
0.4264199028588349	-20.17431547714629	TCGA-AM-5821-01
4.164746140692372	0.1965618193432211	TCGA-AU-3779-01
-1.7221025860259198	-13.818980196716772	TCGA-AU-6004-01
-4.612881738021137	3.6410849127265044	TCGA-AY-5543-01
5.824337400949212	-12.613328773210771	TCGA-AY-6196-01
-1.359311788343663	-12.049032368365214	TCGA-AY-6197-01
-5.768503589575898	-2.7034031613498537	TCGA-AY-6386-01
-4.216594182337615	9.53321676433657	TCGA-AY-A54L-01
7.06384040375396	3.4882265625341278	TCGA-AY-A69D-01
