Dim1	Dim2	Sample
7.213787544459424	7.963848205763973	TCGA-2J-AAB1-01
6.253773066176784	5.910910429594817	TCGA-2J-AAB4-01
1.2693081206180958	-8.21322964745897	TCGA-2J-AAB6-01
-3.0175888630705625	7.808434345058246	TCGA-2J-AAB8-01
-0.6127289943863536	-2.759952605865569	TCGA-2J-AAB9-01
5.113816074213149	1.7825550188780976	TCGA-2J-AABA-01
-0.3104097704385282	6.050991389774464	TCGA-2J-AABE-01
0.44088410895912705	1.4933713946499758	TCGA-2J-AABF-01
6.890151981156523	6.438771435126472	TCGA-2J-AABH-01
1.1729283523943386	-10.17165590030971	TCGA-2J-AABI-01
7.066787589537329	4.117038397073223	TCGA-2J-AABK-01
-2.3297627884773546	-0.005389095725613257	TCGA-2J-AABO-01
-8.93350264294567	-11.698866778960554	TCGA-2J-AABP-01
-1.750979507629759	-1.8039562244088583	TCGA-2J-AABR-01
8.85894366258715	-10.322328089033357	TCGA-2J-AABT-01
-1.3014277294097025	12.044399362512166	TCGA-2J-AABU-01
13.245995943260336	-0.10165340456691341	TCGA-2J-AABV-01
9.075670685053172	8.86002895191038	TCGA-2L-AAQA-01
5.095381643741674	3.6704239638965803	TCGA-2L-AAQE-01
6.8662442530568075	5.846711803251771	TCGA-2L-AAQI-01
7.694330741114238	8.644745543954942	TCGA-2L-AAQJ-01
12.746963989462866	1.2945773768741096	TCGA-2L-AAQL-01
-14.903973253475037	-11.922178044694258	TCGA-2L-AAQM-01
11.915621552228531	-2.6221025737336463	TCGA-3A-A9I5-01
8.702065211745849	-7.931621815941628	TCGA-3A-A9I7-01
-2.4444567754767594	-3.8309634153910195	TCGA-3A-A9I9-01
-3.7469442763643577	4.401139534416417	TCGA-3A-A9IB-01
-5.148784725072126	7.0907931599967595	TCGA-3A-A9IC-01
5.473777144578759	5.051031166526243	TCGA-3A-A9IH-01
-16.41052277699997	-10.383495328569218	TCGA-3A-A9IJ-01
-15.394945665046945	-10.898000871295805	TCGA-3A-A9IL-01
-15.031525905301683	-11.12528285874151	TCGA-3A-A9IN-01
-15.942061804057118	-10.986743574725292	TCGA-3A-A9IO-01
-17.158340908836657	-11.018852553555838	TCGA-3A-A9IR-01
-16.48927131424613	-11.728080958742698	TCGA-3A-A9IS-01
3.6799934911715706	2.8848308123284547	TCGA-3A-A9IU-01
-14.674857841047949	-11.441422970140987	TCGA-3A-A9IV-01
-5.447843310497099	-3.25861559443877	TCGA-3A-A9IX-01
8.150487416742925	2.441211727727521	TCGA-3A-A9IZ-01
-1.0872466066115636	6.528169095521465	TCGA-3A-A9J0-01
-2.1531190561919864	-3.442224959796968	TCGA-3E-AAAY-01
9.17723580316395	-9.818759219237094	TCGA-3E-AAAZ-01
6.450157108990202	-1.3063003272936036	TCGA-F2-6879-01
-5.438242527787627	-5.405289831507988	TCGA-F2-6880-01
-8.722324398377943	-4.664945064266414	TCGA-F2-7273-01
-8.594109403347257	-4.789879623763827	TCGA-F2-7276-01
-1.7121852281813827	8.177352154397855	TCGA-F2-A44G-01
-1.4637174563502875	-4.862632094167447	TCGA-F2-A44H-01
2.020602085963271	-3.024919041749469	TCGA-F2-A7TX-01
0.30153387818417254	7.008519854505915	TCGA-F2-A8YN-01
-2.4466594104090658	-9.02394602456246	TCGA-FB-A4P5-01
-3.763965789719252	-2.166999410015358	TCGA-FB-A4P6-01
-1.8209338808970814	9.699167209479063	TCGA-FB-A545-01
0.6077812813048774	-9.637118216403659	TCGA-FB-A5VM-01
7.849708945116074	6.922935052343312	TCGA-FB-A78T-01
8.913593266134496	-9.5758509064258	TCGA-FB-A7DR-01
14.192734170809937	11.864918879985987	TCGA-FB-AAPP-01
8.275713913733707	9.426671875770776	TCGA-FB-AAPQ-01
-7.436314899737724	-10.582589016333971	TCGA-FB-AAPS-01
10.905492349842524	11.057950021883467	TCGA-FB-AAPU-01
3.9605593044955594	5.914363000734033	TCGA-FB-AAPY-01
2.9494979082757387	2.6022152991209837	TCGA-FB-AAPZ-01
10.224318736958733	8.148396840503128	TCGA-FB-AAQ0-01
3.6094221889463856	12.003817100996594	TCGA-FB-AAQ1-01
0.1729032846472884	12.4446546882034	TCGA-FB-AAQ2-01
11.245581619996477	2.411585686171915	TCGA-FB-AAQ3-01
10.508139605382611	9.101795377925379	TCGA-FB-AAQ6-01
-3.0876827531759368	10.620631144571032	TCGA-H6-8124-01
-0.13297781872630265	1.2896648570300493	TCGA-H6-A45N-01
3.051683906962076	8.397727144786264	TCGA-H8-A6C1-01
0.12129991655411308	8.74366715793734	TCGA-HV-A5A3-01
0.44410481089396403	3.8191718454640524	TCGA-HV-A5A4-01
-0.18547787846926247	0.8154360663018361	TCGA-HV-A5A5-01
9.59542170243421	4.525681869157919	TCGA-HV-A5A6-01
12.949921806204264	2.0673779320165413	TCGA-HV-A7OL-01
14.029810353873843	0.20979330165831545	TCGA-HV-A7OP-01
-1.2076838861120205	4.099125136720779	TCGA-HV-AA8V-01
5.7977261624293375	8.3099228933158	TCGA-HV-AA8X-01
14.555808746957823	12.09955384409395	TCGA-HZ-7289-01
-9.951929021458055	-3.3442362375711037	TCGA-HZ-7918-01
5.340723636532873	-1.3682457375815416	TCGA-HZ-7919-01
-10.605757585364122	-7.848653577870341	TCGA-HZ-7920-01
4.329046392331132	-1.919426302550133	TCGA-HZ-7922-01
-9.575171443206113	-6.372413302022754	TCGA-HZ-7923-01
7.97646750274616	-5.077600998487313	TCGA-HZ-7924-01
-7.288108153377198	2.048179187153447	TCGA-HZ-7925-01
