Dim1	Dim2	Sample
8.743459603159375	10.313464454830836	TCGA-2V-A95S-01
-7.3392632955133505	0.6298191133532215	TCGA-2Y-A9GS-01
0.456603298267674	-5.203570596200486	TCGA-2Y-A9GT-01
-4.176360404537887	19.096312845585658	TCGA-2Y-A9GU-01
-0.41370462733237984	-4.86439899624496	TCGA-2Y-A9GV-01
5.545896970342851	0.6239901428445943	TCGA-2Y-A9GW-01
3.6677042272664897	3.3930746136088414	TCGA-2Y-A9GX-01
-4.489623031530004	10.339464825713934	TCGA-2Y-A9GY-01
-10.728897639413647	-3.6217837179768484	TCGA-2Y-A9GZ-01
-13.032039324259172	2.0670785949723185	TCGA-2Y-A9H0-01
9.732451938314725	-5.711629457194563	TCGA-2Y-A9H1-01
10.943302260030393	19.492037224075894	TCGA-2Y-A9H2-01
-0.4271475748867252	19.874275402363438	TCGA-2Y-A9H3-01
-8.751478859764498	-3.9377055478953404	TCGA-2Y-A9H4-01
4.432991436588623	11.838000482120284	TCGA-2Y-A9H5-01
-3.4931566827417844	19.70785466611801	TCGA-2Y-A9H6-01
-6.1282187459628314	14.025932031841702	TCGA-2Y-A9H7-01
-1.148758467385218	7.676505119901487	TCGA-2Y-A9H8-01
-5.1348166721415565	-4.531984399439595	TCGA-2Y-A9H9-01
-11.291611883165192	-9.214323777750531	TCGA-2Y-A9HA-01
1.4995993862085264	-1.806454502944896	TCGA-2Y-A9HB-01
4.282238367993096	-6.9995990205888035	TCGA-3K-AAZ8-01
-11.30514740401467	-8.302094094917948	TCGA-4R-AA8I-01
-3.1168042955207715	17.026319423778094	TCGA-5C-A9VG-01
4.1261372280243895	11.4382236184586	TCGA-5C-A9VH-01
-9.731117411161856	4.280112966217334	TCGA-5C-AAPD-01
-6.482928861259579	-19.979954144527373	TCGA-5R-AA1C-01
17.92100770787342	6.4153324366369375	TCGA-5R-AA1D-01
0.6790044572717636	-3.69842437824734	TCGA-5R-AAAM-01
11.556000761750802	12.889954941690315	TCGA-BC-4072-01
13.332969019908976	11.640337172525212	TCGA-BC-4073-01
12.779510934242277	21.717606449360268	TCGA-BC-A10Q-01
-3.3016364121260127	20.50775539253648	TCGA-BC-A10R-01
4.208454522996689	-3.9101933774799877	TCGA-BC-A10S-01
-10.59580317346706	-1.7499649732190619	TCGA-BC-A10T-01
-11.059261232515013	-7.47967282221521	TCGA-BC-A10U-01
12.073841059398692	8.181741955211177	TCGA-BC-A10W-01
5.572250085676037	5.050714175474731	TCGA-BC-A10X-01
-12.284190854802553	-2.9530808787881884	TCGA-BC-A10Y-01
-13.407720557039285	-2.580601213182563	TCGA-BC-A10Z-01
4.1876682429991705	4.975552870271202	TCGA-BC-A110-01
12.224614969990457	15.55684976367178	TCGA-BC-A112-01
5.693922591415598	8.243109350286646	TCGA-BC-A216-01
-13.852240680006563	-1.506438870671044	TCGA-BC-A217-01
-2.1132453437976393	1.8721514376567643	TCGA-BC-A3KF-01
-16.369535839501797	-1.2124435354724221	TCGA-BC-A3KG-01
-3.2684465665736293	-5.997176114197345	TCGA-BC-A5W4-01
-5.894641322864993	8.820588497496534	TCGA-BC-A69H-01
-7.163852053033519	-22.868351470296968	TCGA-BC-A69I-01
11.30592884718293	8.150504214180444	TCGA-BC-A8YO-01
-8.982159730879369	-2.772070274166228	TCGA-BD-A2L6-01
-8.03393261604066	3.4593789671800166	TCGA-BD-A3EP-01
4.6963909244304105	0.2527132809990541	TCGA-BD-A3ER-01
-13.253211752556512	-2.051871061751244	TCGA-BW-A5NO-01
1.5045618685245257	15.40628915013706	TCGA-BW-A5NP-01
-0.49613790200214053	-16.71155774271729	TCGA-BW-A5NQ-01
-3.6823248502365415	12.040720640924892	TCGA-CC-5258-01
11.854182485060598	-5.041322233815209	TCGA-CC-5259-01
12.757444055311982	21.57848873081104	TCGA-CC-5260-01
5.260172254376693	14.657635870358437	TCGA-CC-5261-01
-6.74737628247276	3.0237754304570794	TCGA-CC-5262-01
13.406613867694027	11.741784255907582	TCGA-CC-5263-01
-12.935154571941261	3.078358667135426	TCGA-CC-5264-01
-10.142866716232808	11.574986063535404	TCGA-CC-A123-01
13.854975063929047	15.924872963055057	TCGA-CC-A1HT-01
15.671530090945321	19.11246554576469	TCGA-CC-A3M9-01
11.14268426236592	19.588238190277103	TCGA-CC-A3MA-01
-0.4583610065051306	1.6927467140325114	TCGA-CC-A3MB-01
10.679822405684845	4.701884772065236	TCGA-CC-A3MC-01
-2.488555436168079	12.148116344695115	TCGA-CC-A5UC-01
-2.2235064508316738	-21.632055810473087	TCGA-CC-A5UD-01
-5.121301088724525	6.909515986889689	TCGA-CC-A5UE-01
-1.6921824229760174	12.417326996658154	TCGA-CC-A7IE-01
10.917162121188113	1.910960310162654	TCGA-CC-A7IF-01
7.925516082340367	16.675097286979025	TCGA-CC-A7IG-01
-8.120172211204157	-20.126927054074322	TCGA-CC-A7IH-01
7.1328476800787355	21.44178801762138	TCGA-CC-A7II-01
15.614585727526059	19.090805645261074	TCGA-CC-A7IJ-01
-2.8961545520754135	-17.178001795915087	TCGA-CC-A7IK-01
-7.073137625746772	-11.975384072607383	TCGA-CC-A7IL-01
3.582528813666865	16.378258176936754	TCGA-CC-A8HS-01
-11.061783815107518	4.936914835619585	TCGA-CC-A8HT-01
-1.5458521778042988	7.554032485606274	TCGA-CC-A8HU-01
6.568266695250483	16.830532563847214	TCGA-CC-A8HV-01
11.782737970636454	2.1165745259226245	TCGA-CC-A9FS-01
-15.476458066259895	-10.625999624318755	TCGA-CC-A9FU-01
